Title,Source,Content,Result
[Photo] #اطلاعیه ♦️قابل توجه کارکنان شرکت‌های فولاد مستقر در خوزستان🔥تمامی کارکنان شرکت‌های ف [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#اطلاعیه ♦️قابل توجه کارکنان شرکت‌های فولاد مستقر در خوزستان 🔥تمامی کارکنان شرکت‌های فولاد مستقر در استان خوزستان در مورخ سه‌شنبه ۹ دیماه تعطیل شدند. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: High
3. اقدام: تعطیلی کارکنان شرکت‌های فولاد در خوزستان به دلیل شرایط اضطراری اعلام شد.
4. محله: نامشخص
"
[Video] 🎥 هفتکل | جاری شدن سیل در برخی از روستاهای بخش رغیوه⚠️سیلاب راه ارتباطی به برخی از رو [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥 هفتکل | جاری شدن سیل در برخی از روستاهای بخش رغیوه ⚠️سیلاب راه ارتباطی به برخی از روستاها را بسته است. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"
1. موضوع: امدادی
2. اولویت: High
3. اقدام: بررسی و رفع انسداد راه های ارتباطی روستاهای سیل زده در بخش رغیوه ضروری است.
4. محله: نامشخص"
#اطلاعیه_فوری 🔥مدارس نوبت صبح و عصر فردا دوشنبه در ایذه غیرحضوری شد ترکی‌زاده، فرماندار ایذه: [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#اطلاعیه_فوری 🔥مدارس نوبت صبح و عصر فردا دوشنبه در ایذه غیرحضوری شد ترکی‌زاده، فرماندار ایذه: 🔹به منظور پاکسازی گل‌ولای ناشی از سیلاب امروز در معابر و مدارس شهرستان، مدارس نوبت صبح و عصر فردا در شهرستان ایذه در تمام مقاطع تعطیل خواهند بود. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: High
3. اقدام: مدارس ایذه فردا به دلیل سیلاب و لجن‌زدایی غیرحضوری خواهند بود.
4. محله: نامشخص
"
#اطلاعیه_فوری 🔥فردا؛ کلیه مدارس مسجدسلیمان تعطیل شد🔹به علت بارش شدید باران ، مدارس شهرستان م [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#اطلاعیه_فوری 🔥فردا؛ کلیه مدارس مسجدسلیمان تعطیل شد 🔹به علت بارش شدید باران ، مدارس شهرستان مسجدسلیمان فردا هشتم دی تعطیل  شد. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"
1. موضوع: امدادی
2. اولویت: High
3. اقدام: تعطیلی مدارس به دلیل بارش شدید باران در مسجدسلیمان اعلام شد.
4. محله: نامشخص"
[Photo] #اطلاعیه 🔥پل مالکریم مسجدسلیمان تا اطلاع ثانوی بسته شد🔹️ پل مالکریم مسجدسلیمان به‌دل [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#اطلاعیه 🔥پل مالکریم مسجدسلیمان تا اطلاع ثانوی بسته شد 🔹️ پل مالکریم مسجدسلیمان به‌دلیل اجرای عملیات تعمیرات و بهسازی به‌صورت کامل و دوطرفه مسدود شد. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"
1. موضوع: زیرساخت
2. اولویت: High
3. اقدام: پل مالکریم مسجدسلیمان به دلیل تعمیرات تا اطلاع ثانوی مسدود شده است.
4. محله: نامشخص"
#اطلاعیه_فوری ♦️قابل توجه رانندگان🔥مسدود شدن محورهای باغملک - ایذه - دزپارت و ملاثانی - گاوسو [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#اطلاعیه_فوری ♦️قابل توجه رانندگان 🔥مسدود شدن محورهای باغملک - ایذه - دزپارت و ملاثانی - گاوسوار تا اطلاع ثانوی مرکز مدیریت راه‌های اداره‌کل راهداری و حمل‌ و نقل جاده‌ای خوزستان: 🔹با توجه به بارش شدید باران در محورهای مواصلاتی استان و طغیان رودخانه‌های فصلی، محورهای باغملک - ایذه - دزپارت و ملاثانی - گاوسوار تا اطلاع ثانوی مسدود هستند. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: شهری
2. اولویت: High
3. اقدام: رانندگان از تردد در محورهای مسدود شده خودداری کنند.
4. محله: ملاثانی"
#صدای_مردم باسلام؛ علیرغم اعلام عزای عمومی و تعطیلی سراسری توسط استانداری، دانشگاه شهید چمران  [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#صدای_مردم باسلام؛ علیرغم اعلام عزای عمومی و تعطیلی سراسری توسط استانداری، دانشگاه شهید چمران اهواز امتحانات ما دانشجویان رو لغو نکرده و امتحانات برقراره ، همچنین حضور برخی پرسنل هم در این روز اجباری شده. خواهش میکنم صدای ما باشید و پیگیری کنید #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"
1. موضوع: شهری
2. اولویت: Medium
3. اقدام: پیگیری لغو امتحانات دانشگاه شهید چمران با توجه به اعلام عزای عمومی ضروری است.
4. محله: نامشخص"
[Video] 🎥خروش بی‌سابقه رودخانه شهرستان باغملک #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادار [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥خروش بی‌سابقه رودخانه شهرستان باغملک #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: High
3. اقدام: اطلاع‌رسانی درباره تعطیلی مدارس و ادارات خوزستان به دلیل خروش رودخانه.
4. محله: نامشخص
"
[Video] 🎥باغملک | سیل در روستایی دلی#اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگ [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥باغملک | سیل در روستایی دلی #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: High
3. اقدام: اطلاع‌رسانی درباره تعطیلی مدارس و ادارات خوزستان به دلیل سیل.
4. محله: نامشخص
"
#اطلاعیه_فوری 🔥مدارس کدام شهرهای خوزستان فردا ۸ دیماه تعطیل است؟🔹#ایذه: کلیه مدارس تایم صبح  [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#اطلاعیه_فوری 🔥مدارس کدام شهرهای خوزستان فردا ۸ دیماه تعطیل است؟ 🔹#ایذه: کلیه مدارس تایم صبح و عصر 🔹#مسجدسلیمان: مدارس تایم صبح و عصر ➕درحال بروز رسانی... #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,":
1. موضوع: شهری
2. اولویت: High
3. اقدام: اعلام تعطیلی مدارس در شهرهای ایذه و مسجدسلیمان در خوزستان برای فردا ۸ دیماه.
4. محله: نامشخص"
[Video] 🎥 ایذه | پل هلاگون، ورودی شهر طغیان رودخانه فصلی و تخریب پل قدیمی #اطلاع_رسانی_کنید  [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥 ایذه | پل هلاگون، ورودی شهر طغیان رودخانه فصلی و تخریب پل قدیمی #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"
1. موضوع: زیرساخت
2. اولویت: High
3. اقدام: بررسی و ترمیم فوری پل هلاگون ایذه برای بازگشایی مسیر و جلوگیری از مشکلات بیشتر ضروری است.
4. محله: نامشخص"
[Video] #احتیاط_کنید🎥بارش شدید باران و حرکت سیل شهر لیکک بهمئی بطرف شهر تشان و جاده اصلی بهبه [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#احتیاط_کنید 🎥بارش شدید باران و حرکت سیل شهر لیکک بهمئی بطرف شهر تشان و جاده اصلی بهبهان به اهواز #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"
1. موضوع: امدادی
2. اولویت: High
3. اقدام: به شهروندان اهواز و مسیر بهبهان به اهواز در خصوص بارش شدید و احتمال سیل هشدار داده شود.
4. محله: نامشخص"
[Video] 🎥 رامهرمز | سیل در شهر رودزرد، جاده رامهرمز  - باغملک#اطلاع_رسانی_کنید ✅ اخبار  تعطی [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥 رامهرمز | سیل در شهر رودزرد، جاده رامهرمز  - باغملک #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: High
3. اقدام: اطلاع‌رسانی درباره تعطیلی مدارس و ادارات خوزستان به دلیل سیل.
4. محله: نامشخص
"
[Video],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",,"متاسفم، اما محتوای خبر ارائه نشده است. برای استخراج اطلاعات کلیدی و ارائه خروجی طبق فرمت خواسته شده، به محتوای خبر نیاز دارم. لطفا محتوای خبر را در اختیار من قرار دهید.
"
⚠️#هشدار ♦️رانندگان اژ تردد غیرضروری در جاده‌های خوزستان پرهیز کنند🔥از رانندگان درخواست می‌شو [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",⚠️#هشدار ♦️رانندگان اژ تردد غیرضروری در جاده‌های خوزستان پرهیز کنند 🔥از رانندگان درخواست می‌شود با احتیاط کامل تردد کرده و نکات ایمنی را رعایت کنند. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: High
3. اقدام: رانندگان از تردد غیرضروری در جاده‌های خوزستان خودداری کنند و نکات ایمنی را رعایت کنند.
4. محله: نامشخص
"
[Photo] 📸 ایذه |  ریزش کوه و مسدودی جاده در دره قیلا تاشار#اطلاع_رسانی_کنید ✅ اخبار  تعطیلی  [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",📸 ایذه |  ریزش کوه و مسدودی جاده در دره قیلا تاشار #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: High
3. اقدام: جاده مسدود شده در ایذه نیاز به پاکسازی و بازگشایی دارد.
4. محله: نامشخص
"
[Video] 🎥 مسجدسلیمان | سیل شدید در بارندگی امروز - نفتک#اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدا [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥 مسجدسلیمان | سیل شدید در بارندگی امروز - نفتک #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,":
1. موضوع: امدادی
2. اولویت: High
3. اقدام: اطلاع‌رسانی درباره تعطیلی مدارس، ادارات و دانشگاه‌های خوزستان به دلیل سیل.
4. محله: نامشخص"
[Video] 🎥پل سی میلی، در جاده مسجدسلیمان به هفتکل تا تاج پل زیر آب رفت#اطلاع_رسانی_کنید ✅ اخب [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥پل سی میلی، در جاده مسجدسلیمان به هفتکل تا تاج پل زیر آب رفت #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: High
3. اقدام: اطلاع‌رسانی درباره وضعیت پل سی میلی و احتمال تعطیلی مدارس و ادارات خوزستان ضروری است.
4. محله: نامشخص
"
#اطلاعیه_فوری ♦️قابل توجه کارکنان منطقه ویژه اقتصادی پتروشیمی🔥شروع به کار کارکنان روزکار با ی [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#اطلاعیه_فوری ♦️قابل توجه کارکنان منطقه ویژه اقتصادی پتروشیمی 🔥شروع به کار کارکنان روزکار با یک ساعت تاخیر ( ٩ صبح ) روابط عمومی و سخنگوی شرایط اضطراری منطقه ویژه اقتصادی پتروشیمی: 🔹براساس پیش بینی جوی مبنی بر وقوع پدیده مه صبحگاهی و کاهش دید افقی، پیرو مصوبه کمیته پدافند غیر عامل و مدیریت بحران منطقه ویژه اقتصادی پتروشیمی و در راستای صیانت از سلامت کارکنان منطقه، بدینوسیله فردا دوشنبه مورخ ۱۴۰۴/۱۰/۰۸ ساعت شروع به کار کارکنان روزکار با یک ساعت تاخیر ( ٩ صبح ) اعلام می‌گردد. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: شهری
2. اولویت: Medium
3. اقدام: شروع به کار کارکنان منطقه ویژه اقتصادی پتروشیمی با یک ساعت تاخیر به دلیل مه صبحگاهی اعلام شد.
4. محله: نامشخص
"
[Video] 🎥ایذه | سیلاب کم سابقه در مکان تاریخی اشکفت سلمان#اطلاع_رسانی_کنید ✅ اخبار  تعطیلی م [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥ایذه | سیلاب کم سابقه در مکان تاریخی اشکفت سلمان #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"
1. موضوع: امدادی
2. اولویت: High
3. اقدام: اطلاع‌رسانی درباره سیلاب و تعطیلی مدارس و ادارات خوزستان ضروری است.
4. محله: نامشخص"
[Video] 🎥 لالی | آبشار فصلی چند صد متری در منطقه تراز در پی بارش‌های امروز #اطلاع_رسانی_کنید  [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",🎥 لالی | آبشار فصلی چند صد متری در منطقه تراز در پی بارش‌های امروز #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,":
1. موضوع: محیط زیست
2. اولویت: Medium
3. اقدام: اطلاع‌رسانی درباره تشکیل آبشار فصلی در منطقه تراز به شهروندان ضروری است.
4. محله: تراز"
#فوری 🔷قابل توجه دانش آموزان 🔥مدارس نوبت صبح باغملک #غیرحضوری شد.,"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#فوری 🔷قابل توجه دانش آموزان 🔥مدارس نوبت صبح باغملک #غیرحضوری شد. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,":
1. موضوع: شهری
2. اولویت: High
3. اقدام: مدارس نوبت صبح باغملک به دلیل شرایط نامشخص، غیرحضوری اعلام شد.
4. محله: نامشخص"
#اطلاعیه_فوری 🔥کلیه مدارس شهرستان اندیکا در نوبت صبح🔹بنا به تصمیم مدیریت بحران شهرستان اندیک [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#اطلاعیه_فوری 🔥کلیه مدارس شهرستان اندیکا در نوبت صبح 🔹بنا به تصمیم مدیریت بحران شهرستان اندیکا و با توجه به شرایط موجود، کلیه مدارس این شهرستان در نوبت صبح روز دوشنبه مورخ ۱۴۰۴/۱۰/۰۸ به‌صورت غیرحضوری برگزار خواهند شد. 🔹لطفاً دانش‌آموزان از طریق بسترهای آموزش مجازی، فرآیند آموزشی خود را پیگیری نمایند. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,":
1. موضوع: امدادی
2. اولویت: High
3. اقدام: مدارس اندیکا فردا صبح به صورت غیرحضوری برگزار می‌شوند.
4. محله: نامشخص"
[Photo] #فوری 🔥۹ شهرستان خوزستان در پی بارندگی شدید دچار آب‌گرفتگی شدندسرپرست معاونت امداد و  [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#فوری 🔥۹ شهرستان خوزستان در پی بارندگی شدید دچار آب‌گرفتگی شدند سرپرست معاونت امداد و نجات جمعیت هلال‌احمر خوزستان گفت: 🔹 ۹ شهرستان خوزستان شامل #شوشتر، #مسجدسلیمان، #گتوند، #رامهرمز، #باوی، #اندیکا، #هفتکل، #ایذه و #باغملک در پی بارندگی شدید امروز دچار آب‌گرفتگی و بروز مشکلاتی شدند و امدادرسانی در این مناطق در حال انجام است. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"
1. موضوع: امدادی
2. اولویت: High
3. اقدام: امدادرسانی به مناطق آب‌گرفته در ۹ شهرستان خوزستان در حال انجام است.
4. محله: نامشخص"
#اطلاعیه_فوری 🔹قابل توجه شهروندان🔥احتمال تعطیلی دیگر شهرهای خوزستان وجود دارد.,"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#اطلاعیه_فوری 🔹قابل توجه شهروندان 🔥احتمال تعطیلی دیگر شهرهای خوزستان وجود دارد. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: شهری
2. اولویت: High
3. اقدام: شهروندان نسبت به احتمال تعطیلی مدارس و ادارات در شهرهای خوزستان هوشیار باشند.
4. محله: نامشخص
"
#اطلاعیه_فوری ♦️قابل توجه دانش‌آموزان🔥مدارس کدام شهرهای خوزستان فردا ۸ دیماه تعطیل است؟🔹#ایذ [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#اطلاعیه_فوری ♦️قابل توجه دانش‌آموزان 🔥مدارس کدام شهرهای خوزستان فردا ۸ دیماه تعطیل است؟ 🔹#ایذه: کلیه مدارس تایم صبح و عصر 🔹#مسجدسلیمان: مدارس تایم صبح و عصر 🔹#باغملک: مدارس تایم صبح 🔹#اندیکا: مدارس در تایم صبح ➕درحال بروز رسانی... #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: شهری
2. اولویت: High
3. اقدام: اطلاع‌رسانی درباره تعطیلی مدارس در شهرهای خوزستان.
4. محله: نامشخص
"
#صدای_مردم 🔥اختلال در خطوط مخابراتی روستاهای اطراف ایذه به علت بارندگی امروز🔹جمعی از شهروندا [...],"شبکه خبری خوزستان

ارتباط با ما👇
@havaaye
رزرو آگهی و تبلیغات👇
@khz_34",#صدای_مردم 🔥اختلال در خطوط مخابراتی روستاهای اطراف ایذه به علت بارندگی امروز 🔹جمعی از شهروندان ایذه‌ای در پیام‌های جداگانه‌ای به #شبکه_خبری_خـوزستان گفتند که در بارندگی شدید و سیل امروز آنتن دهی در روستاهای اطراف این شهرستان به شدت ضعیف شده و امکان برقراری تماس تلفنی برای ارسال نیروهای امدادی وجود ندارد. از مسئولان مخابرات استان خوزستان درخواست رفع هرچه سریع تر این مشکل را داریم. #اطلاع_رسانی_کنید ✅ اخبار  تعطیلی مدارس و‌ادارات و دانشگاه های خوزستان را دنبال کنید👇 https://t.me/khozkhabar https://t.me/khozkhabar,"1. موضوع: امدادی
2. اولویت: High
3. اقدام: رفع اختلال خطوط مخابراتی در روستاهای اطراف ایذه در اولویت قرار گیرد تا امکان برقراری تماس و ارسال نیروهای امدادی فراهم شود.
4. محله: نامشخص
"
